Old UPN,New UPN
i:0#.f|membership|cmiller6@contoso.com,i:0#.f|membership|cmiller6@newtenant.com
i:0#.f|membership|shess@contoso.com,i:0#.f|membership|shess@newtenant.com
i:0#.f|membership|tvalentin@contoso.com,i:0#.f|membership|tvalentin@horseshoe.com
i:0#.f|membership|awells1@contoso.com,i:0#.f|membership|awells1@newtenant.com
i:0#.f|membership|stucker2@contoso.com,i:0#.f|membership|stucker2@newtenant.com
i:0#.f|membership|mpetrick@contoso.com,i:0#.f|membership|mpetrick@newtenant.com
i:0#.f|membership|kkichline@contoso.com,i:0#.f|membership|kkichline@newtenant.com
i:0#.f|membership|kennamera@contoso.com,i:0#.f|membership|kennamera@newtenant.com
i:0#.f|membership|jgonzales@contoso.com,i:0#.f|membership|jgonzales@newtenant.com
i:0#.f|membership|smcconnaughey@contoso.com,i:0#.f|membership|smcconnaughey@newtenant.com
i:0#.f|membership|khernandez@contoso.com,i:0#.f|membership|khernandez@newtenant.com
i:0#.f|membership|dendre@contoso.com,i:0#.f|membership|dendre@newtenant.com
i:0#.f|membership|ripatel@contoso.com,i:0#.f|membership|ripatel@newtenant.com
i:0#.f|membership|kgutierrez@contoso.com,i:0#.f|membership|kgutierrez@newtenant.com
i:0#.f|membership|cbugge@contoso.com,i:0#.f|membership|cbugge@newtenant.com
i:0#.f|membership|sszablewski@contoso.com,i:0#.f|membership|sszablewski@newtenant.com
i:0#.f|membership|crayer_newtenant.co.uk#ext#@contoso.onmicrosoft.com,i:0#.f|membership|crayer_newtenant.co.uk#ext#@newtenant365.onmicrosoft.com
i:0#.f|membership|greg.mason_tibaparking.com#ext#@contoso.onmicrosoft.com,i:0#.f|membership|greg.mason_tibaparking.com#ext#@newtenant365.onmicrosoft.com
i:0#.f|membership|beatrice_traveltripper.com#ext#@contoso.onmicrosoft.com,i:0#.f|membership|beatrice_traveltripper.com#ext#@newtenant365.onmicrosoft.com
